Year,Win.Score,Lose.Score,Total.Score
1874,7,12,19
1874,8,10,18
1874,7,14,21
1874,9,1,10
1874,9,8,17
1874,6,2,8
1874,7,6,13
1874,3,2,5
1874,9,8,17
1874,8,5,13
1874,4,2,6
1874,3,1,4
1874,9,1,10
1874,14,13,27
1874,5,11,16
1874,2,1,3
1874,6,1,7
1874,7,14,21
1874,7,15,22
1874,9,8,17
1874,9,4,13
1874,9,10,19
1874,29,0,29
1874,4,14,18
1874,4,1,5
1874,5,2,7
1874,6,15,21
1874,6,4,10
1874,7,4,11
1874,4,2,6
1874,17,1,18
1874,7,6,13
1874,3,0,3
1874,3,3,6
1874,9,13,22
1874,4,3,7
1874,15,13,28
1874,7,4,11
1874,4,2,6
1874,7,15,22
1874,4,18,22
1874,6,4,10
1874,2,15,17
1874,9,6,15
1874,12,11,23
1874,4,3,7
1874,6,4,10
1874,3,2,5
1874,5,1,6
1874,9,2,11
1874,5,2,7
1874,5,2,7
1874,5,0,5
1874,7,14,21
1874,8,6,14
1874,3,11,14
1874,5,11,16
1874,13,1,14
1874,8,11,19
1874,7,3,10
1874,3,15,18
1874,5,2,7
1874,6,11,17
1874,3,10,13
1874,7,10,17
1874,9,4,13
1874,9,5,14
1874,17,11,28
1874,4,11,15
1875,6,0,6
1875,3,14,17
1875,7,5,12
1875,6,3,9
1875,6,5,11
1875,3,2,5
1875,7,10,17
1875,8,2,10
1875,10,1,11
1875,5,14,19
1875,5,22,27
1875,4,3,7
1875,5,12,17
1875,4,2,6
1875,24,0,24
1875,4,13,17
1875,11,1,12
1875,5,11,16
1875,21,0,21
1875,2,14,16
1875,15,1,16
1875,9,15,24
1875,3,21,24
1875,8,0,8
1875,6,13,19
1875,6,3,9
1875,7,1,8
1875,8,20,28
1875,2,15,17
1875,10,0,10
1875,8,3,11
1875,2,10,12
1875,16,0,16
1875,6,1,7
1875,3,2,5
1875,2,11,13
1875,4,3,7
1875,4,1,5
1875,9,1,10
1875,13,0,13
1875,20,1,21
1875,5,0,5
1875,2,16,18
1875,2,1,3
1875,1,0,1
1875,4,23,27
1875,4,1,5
1875,6,16,22
1875,4,1,5
1875,6,10,16
1875,6,2,8
1875,4,2,6
1875,2,15,17
1875,13,1,14
1875,2,10,12
1875,2,1,3
1875,8,1,9
1875,5,14,19
1875,7,6,13
1875,8,4,12
1875,4,2,6
1875,5,0,5
1875,12,0,12
1875,7,10,17
1875,8,7,15
1875,2,10,12
1875,6,2,8
1875,5,10,15
1875,4,11,15
1875,2,13,15
1875,9,4,13
1875,6,11,17
1875,7,4,11
1875,10,1,11
1875,5,12,17
1875,8,6,14
1875,2,15,17
1875,1,0,1
1875,3,1,4
1875,6,2,8
1875,4,0,4
1875,4,10,14
1875,6,13,19
1875,6,5,11
1875,5,0,5
1875,2,16,18
1875,3,2,5
1875,8,5,13
1875,4,14,18
1875,7,6,13
1875,6,2,8
1875,15,0,15
1875,8,5,13
1875,3,3,6
1875,4,12,16
1875,7,3,10
1875,9,5,14
1875,8,3,11
1875,4,2,6
1875,6,0,6
1875,11,10,21
1875,3,1,4
1875,8,16,24
1875,9,2,11
1875,8,7,15
1875,2,11,13
1875,3,10,13
1875,8,0,8
1875,9,4,13
1875,2,18,20
1875,5,10,15
1875,5,13,18
1875,6,5,11
1875,2,14,16
1875,5,4,9
1875,14,0,14
1875,2,15,17
1875,2,0,2
1875,5,2,7
1875,23,0,23
1875,5,2,7
1875,5,17,22
1875,6,4,10
1875,6,16,22
1875,4,18,22
1875,12,0,12
1875,4,21,25
1875,7,24,31
1875,3,2,5
1875,2,10,12
1875,8,2,10
1875,4,11,15
1875,10,0,10
1875,1,0,1
1875,2,15,17
1875,4,3,7
1875,13,1,14
1875,5,4,9
1875,4,0,4
1875,6,4,10
1875,4,1,5
1875,6,11,17
1875,1,0,1
1875,2,11,13
1875,8,7,15
1875,2,0,2
1875,11,0,11
1875,8,2,10
1875,8,1,9
1875,15,1,16
1875,2,18,20
1875,7,1,8
1875,5,2,7
1875,12,1,13
1875,6,11,17
1875,4,3,7
1875,10,1,11
1875,9,0,9
1875,9,3,12
1875,3,0,3
1875,10,10,20
1875,4,1,5
1875,18,10,28
1875,8,1,9
1875,7,15,22
1875,2,14,16
1875,5,10,15
1875,3,1,4
1875,8,5,13
1875,2,1,3
1875,8,0,8
1875,5,12,17
1875,5,3,8
1875,7,0,7
1875,8,20,28
1875,2,13,15
1875,4,12,16
1875,9,1,10
1875,7,3,10
1875,6,2,8
1875,8,4,12
1875,9,2,11
1875,14,1,15
1875,5,2,7
1875,6,2,8
1875,6,2,8
1875,9,7,16
1875,2,1,3
1875,8,7,15
1875,8,0,8
1875,4,3,7
1875,5,1,6
1875,6,0,6
1875,5,14,19
1875,4,10,14
1875,7,2,9
1875,4,1,5
1875,7,5,12
1875,3,23,26
1875,3,12,15
1875,6,1,7
1875,6,16,22
1875,4,1,5
1875,16,13,29
1875,9,3,12
1875,4,3,7
1875,9,0,9
1875,9,2,11
1875,6,0,6
1875,6,5,11
1875,8,3,11
1875,4,3,7
1875,7,1,8
1875,4,11,15
1875,5,1,6
1875,4,2,6
1875,7,11,18
1875,7,3,10
1875,2,11,13
1875,4,0,4
1875,6,3,9
1875,9,7,16
1875,8,2,10
1875,7,1,8
1875,3,15,18
1875,3,2,5
1875,4,3,7
1875,1,1,2
1875,2,0,2
1875,13,0,13
1875,7,11,18
1875,3,1,4
1875,11,10,21
1875,4,2,6
1875,16,0,16
1875,7,0,7
1875,1,1,2
1875,8,1,9
1875,4,0,4
1875,3,17,20
1875,6,2,8
1875,5,2,7
1875,3,1,4
1875,8,4,12
1875,6,14,20
1875,3,2,5
1875,5,1,6
1875,2,1,3
1875,2,0,2
1875,7,3,10
1875,5,3,8
1875,13,11,24
1875,3,2,5
1875,3,2,5
1875,9,13,22
1875,2,14,16
1875,2,1,3
1875,8,2,10
1875,5,10,15
1875,5,0,5
1875,8,14,22
1875,9,12,21
1875,9,1,10
1875,3,11,14
1875,7,13,20
1875,8,8,16
1875,16,0,16
1875,4,13,17
1875,6,3,9
1875,8,2,10
1875,9,4,13
1875,3,15,18
1875,8,2,10
1875,8,5,13
1875,4,10,14
1875,5,4,9
1875,4,12,16
1875,6,13,19
1875,3,12,15
1875,6,0,6
1875,3,0,3
1875,1,1,2
1875,4,10,14
1875,3,10,13
1875,5,4,9
1875,4,14,18
1875,2,13,15
1875,3,14,17
1875,6,4,10
1875,9,13,22
1875,5,1,6
1875,5,0,5
